7.658, -10.579, -0.007
6.121, -9.616, -0.014
6.359, -4.03, 0.039
6.01, -5.853, -0.005
7.694, -6.609, 0.007
11.676, -4.152, 0.047
11.015, -7.704, 0.042
9.262, -7.814, 0.014
13.838, -3.061, 0.045
14.41, -4.763, 0.032
16.174, -2.648, 0.032
18.139, -4.257, 0.035
18.393, -2.485, 0.033
11.075, -9.585, 0.04
11.707, -11.496, 0.034
14.707, -12.698, 0.044
13.775, -10.205, 0.044
17.055, -8.694, 0.053
13.078, -8.488, 0.058
15.475, -7.302, 0.042
13.083, -6.64, 0.026
14.077, 3.618, 0.058
15.895, 0.691, 0.043
17.17, 3.029, 0.051
16.693, 4.775, 0.056
19.039, 3.6, 0.053
17.124, 7.765, 0.05
15.495, 6.314, 0.07
10.134, 4.827, 0.077
17.561, 0.147, 0.046
18.696, 1.797, 0.04
14.745, -1.486, 0.047
12.969, -0.192, 0.049
11.763, -1.584, 0.058
11.845, 4.576, 0.061
12.753, 2.326, 0.059
14.203, 1.187, 0.048
10.859, 13.368, 0.037
9.841, 11.36, 0.042
8.214, 10.555, 0.027
4.018, 12.99, -0.021
6.115, 15.065, -0.021
5.187, 11.681, 0.003
7.091, 12.0, 0.017
9.05, 13.083, 0.013
8.049, 8.839, 0.008
11.023, 8.273, 0.061
12.981, 7.053, 0.074
12.649, 8.79, 0.065
14.899, 8.065, 0.068
13.442, 10.857, 0.052
11.687, 11.333, 0.049
13.314, 14.245, 0.039
6.878, -0.115, 0.047
8.296, 1.325, 0.053
11.065, 0.446, 0.063
10.733, 2.556, 0.058
10.841, 6.513, 0.064
7.886, 6.938, 0.043
8.401, 5.265, 0.073
5.22, 2.977, 0.047
7.547, 13.965, -0.007
10.044, 14.957, 0.018
7.385, 17.607, -0.03
5.713, 16.876, -0.034
4.14, 17.834, -0.045
3.769, 15.915, -0.036
5.353, 0.843, 0.038
7.556, 2.921, 0.05
2.679, 11.795, -0.009
1.445, 9.478, 0.02
0.964, 11.221, 0.006
-2.732, 15.31, -0.058
-1.247, 12.793, -0.03
-1.019, 14.628, -0.041
0.939, 13.05, -0.027
2.827, 14.492, -0.042
2.37, 7.207, 0.036
2.548, 4.777, 0.046
4.274, 5.182, 0.048
4.07, 7.672, 0.037
6.635, 4.875, 0.064
6.079, 6.859, 0.045
6.393, 10.344, 0.034
3.837, 9.439, 0.036
1.646, -0.546, 0.016
2.797, 1.364, 0.03
0.857, 1.19, 0.021
3.466, 3.293, 0.042
1.056, 3.738, 0.044
-1.301, 1.792, 0.011
-3.457, 1.111, -0.02
-2.989, -1.846, -0.044
0.993, 14.923, -0.037
1.868, 17.07, -0.041
